doc_id,url,terms
5a0b40c7cf58f18684253be9,Archaeological Investigations at Four San Antonio Missions_ Missi.pdf,"{Copper,Gold,Opal-AN,Iron,Lead,Lime,Nickel,Opal,Silver,Tin,Zinc,""Phase A"",Charcoal,gravel,sand,silt,mud,sandstone,carbonate,limestone,tar,chert,glass,marble,clay,till,soil}"
5a0b401fcf58f18684253bb6,Archaeological Investigations at Sites in the Upper Cibolo Creek.pdf,"{""Phase A"",Charcoal,limestone,chert,clay,soil}"
5a0b3ffbcf58f18684253ba7,Archaeological Investigations at sites near Natalia Medina Count.pdf,"{Lead,Tin,Zinc,""Phase A"",Charcoal,gravel,sandstone,carbonate,chert,clay,grit,soil}"
5a0b40e6cf58f18684253bf6,Archaeological Investigations at the Ice House Site 41HY161_ Ear.pdf,"{Diamond,Dolomite,Hematite,Ice,Iron,Maghemite,Magnetite,Nickel,""Phase A"",Charcoal,Bronze,gravel,sand,shale,siltstone,carbonate,marl,limestone,dolomite,chert,granite,ash,quartzite,chalk,clay,sedimentary,loess,alluvium,soil,paleosol,obsidian}"
5a0b415ccf58f18684253c16,Archaeological Investigations of a Shell Midden (41HR39) at De Za.pdf,"{Amethyst,Diamond,Ice,Iron,Quartz,Silver,Manganese,Cobalt,Charcoal,Bronze,gravel,sand,silt,mud,mudstone,sandstone,coal,chert,glass,slate,quartzite,clay,sedimentary,pumice,soil}"
5a0b401ecf58f18684253bb4,Archaeological Investigations on the Herd Ranch in Western Menard.pdf,"{Dolomite,Gold,Lead,Silver,""Phase A"",gravel,sand,silt,mud,carbonate,limestone,dolomite,chert,glass,ash,clay,dolostone,alluvium,soil}"
5a0b40cbcf58f18684253beb,Archaeological Investigations within San Pedro Springs Park (41BX19).pdf,"{Dolomite,Graphite,Iron,Lead,Maghemite,Magnetite,Nickel,Silver,Tin,""Phase A"",Charcoal,gravel,sand,silt,sandstone,carbonate,marl,limestone,dolomite,coal,tar,chert,glass,ash,marble,chalk,clay,sedimentary,flint,soil,paleosol}"
5a0b409ccf58f18684253bdc,Archaeological Investigations Within the Right-of-way of IH 27 at.pdf,"{gravel,sand,glass,diatomite,soil}"
5a0b401dcf58f18684253bb3,Archaeological Pedestrian Survey and NRHP Eligibility Testing of-2.pdf,"{Lime,""Phase A"",Charcoal,gravel,sand,sandstone,chert,glass,clay,soil}"
5a0b404fcf58f18684253bc3,Archaeological Pedestrian Survey and NRHP Eligibility Testing of.pdf,"{Lime,""Phase A"",Charcoal,gravel,sand,sandstone,chert,glass,clay,soil}"
5a0b40b9cf58f18684253be4,Archaeological Reconnaissance and Survey of the Northeast Lakevie.pdf,"{Nickel,Tin,""Phase A"",Cobalt,Charcoal,gravel,carbonate,limestone,glass,slate,clay,soil}"
5a0b4041cf58f18684253bbf,Archaeological Research at the Hinjosa Site (41JW8) Jim Wells Co.pdf,"{Quartz,""Phase A"",Charcoal,gravel,sand,silt,carbonate,chert,quartzite,clay,grit,alluvium,soil,obsidian}"
5a0b3fcbcf58f18684253b97,Archaeological Services Associated with Improvements to Miraflore.pdf,"{Copper,Iron,Lead,Lime,Nickel,""Phase A"",Charcoal,Bronze,gravel,sand,silt,carbonate,marl,limestone,tar,chert,granite,basalt,glass,slate,marble,chalk,clay,soil}"
5a0b415bcf58f18684253c15,Archaeological Studies at the CPS Butler Lignite Prospect Bastro.pdf,"{Alum,Amethyst,Aquamarine,Diamond,Glauconite,Hematite,Ice,Iron,Lead,Quartz,Sulphur,Zinc,""Phase A"",Cobalt,Charcoal,gravel,sand,mud,mudstone,sandstone,marl,peat,lignite,chert,ironstone,glass,ash,quartzite,marble,clay,alluvium,colluvium,soil}"
5a0b40d8cf58f18684253bf0,Archaeological Survey and Backhoe Testing for Flume No. 3 Right-o.pdf,"{Ice,Iron,Lead,Talc,Manganese,""Phase A"",Charcoal,sand,silt,sandstone,carbonate,marl,coal,chert,ironstone,glass,clay,alluvium,colluvium,soil}"
5a0b4009cf58f18684253bad,Archaeological Survey and Testing at The City of Live Oak Park B.pdf,"{""Phase A"",Charcoal,gravel,sand,chert,clay,soil}"
